t_rel_s,arm_angle_rad,motor_speed_rad_s,pwm_us,ref_angle_rad
0.000000,0.401496,-0.000000,2000,0.000000
0.098456,0.401496,-0.000000,2000,0.000000
0.149833,0.401496,-0.000000,2000,0.000000
0.201324,0.401496,-0.000000,2000,0.000000
0.253956,0.401496,-0.000000,2000,0.000000
0.301013,0.401496,-0.000000,2000,0.000000
0.353272,0.401496,-0.000000,2000,0.000000
0.405530,0.401496,-0.000000,2000,0.000000
0.456955,0.401496,-0.000000,2000,0.000000
0.503732,0.401496,-0.000000,2000,0.000000
0.555283,0.401496,-0.000000,2000,0.000000
0.606694,0.401496,-0.000000,2000,0.000000
0.658079,0.401496,-0.000000,2000,0.000000
0.709804,0.401496,-0.000000,2000,0.000000
0.756860,0.401496,-0.000000,2000,0.000000
0.808699,0.401496,-0.000000,2000,0.000000
0.860868,0.401496,-0.000000,2000,0.000000
0.913090,0.401496,-0.000000,2000,0.000000
0.960356,0.401496,-0.000000,2000,0.000000
1.013331,0.401496,-0.000000,2000,0.000000
1.065440,0.401496,-0.000000,2000,0.000000
1.111620,0.401496,-0.000000,2000,0.000000
1.163017,0.401496,-0.000000,2000,0.000000
1.214310,0.401496,-0.000000,2000,0.000000
1.265652,0.401496,-0.000000,2000,0.000000
1.316899,0.401496,-0.000000,2000,0.000000
1.368208,0.401496,-0.000000,2000,0.000000
1.419529,0.401496,-0.000000,2000,0.000000
1.419529,0.401496,-0.000000,2000,0.000000
1.518061,0.401496,-0.000000,2000,0.000000
1.570480,0.401496,-0.000000,2000,0.000000
1.623635,0.401496,-0.000000,2000,0.000000
1.671239,0.401496,-0.000000,2000,0.000000
1.723168,0.401496,-0.000000,2000,0.000000
1.774571,0.401496,-0.000000,2000,0.000000
1.821538,0.401496,-0.000000,2000,0.000000
1.873641,0.401496,-0.000000,2000,0.000000
1.926905,0.401496,-0.000000,2000,0.000000
1.978293,0.401496,-0.000000,2000,0.000000
2.024444,0.401496,-0.000000,2000,0.000000
2.075756,0.401496,-0.000000,2000,0.000000
2.127124,0.401496,-0.000000,2000,0.000000
2.179642,0.401496,-0.000000,2000,0.000000
2.179642,0.401496,-0.000000,2000,0.000000
2.278579,0.401496,-0.000000,2000,0.000000
2.329915,0.401496,-0.000000,2000,0.000000
