Recording_Time_s,Arm_Angle_deg,Ref_Angle_deg,PWM_Input_us,Duty_Cycle_percent,Tracking_Error_deg
0.000000,9.536100,45.000000,1000.00,5.0000,35.463900
0.009947,9.536100,45.000000,1000.00,5.0000,35.463900
0.019968,9.536100,45.000000,1000.00,5.0000,35.463900
0.030062,9.536100,45.000000,1000.00,5.0000,35.463900
0.040164,9.536100,45.000000,1000.00,5.0000,35.463900
0.050132,9.536100,45.000000,1000.00,5.0000,35.463900
0.060167,9.536100,45.000000,1000.00,5.0000,35.463900
0.070220,9.536100,45.000000,1000.00,5.0000,35.463900
0.080326,9.536100,45.000000,1000.00,5.0000,35.463900
0.090368,9.536100,45.000000,1000.00,5.0000,35.463900
0.100411,9.536100,45.000000,1000.00,5.0000,35.463900
0.110382,9.536100,45.000000,1000.00,5.0000,35.463900
0.120483,9.536100,45.000000,1000.00,5.0000,35.463900
0.130579,9.536100,45.000000,1000.00,5.0000,35.463900
0.140642,9.536100,45.000000,1000.00,5.0000,35.463900
0.150623,9.536100,45.000000,1000.00,5.0000,35.463900
0.160625,9.536100,45.000000,1000.00,5.0000,35.463900
0.170634,9.536100,45.000000,1000.00,5.0000,35.463900
0.180728,9.536100,45.000000,1000.00,5.0000,35.463900
0.190745,9.536100,45.000000,1000.00,5.0000,35.463900
0.200780,9.536100,45.000000,1000.00,5.0000,35.463900
0.210775,9.536100,45.000000,1000.00,5.0000,35.463900
0.220868,9.536100,45.000000,1000.00,5.0000,35.463900
0.230973,9.536100,45.000000,1000.00,5.0000,35.463900
0.240950,9.536100,45.000000,1000.00,5.0000,35.463900
0.250999,9.536100,45.000000,1000.00,5.0000,35.463900
0.261034,9.536100,45.000000,1000.00,5.0000,35.463900
0.271072,9.536100,45.000000,1000.00,5.0000,35.463900
0.281135,9.536100,45.000000,1000.00,5.0000,35.463900
0.291375,9.536100,45.000000,1000.00,5.0000,35.463900
0.301397,9.536100,45.000000,1000.00,5.0000,35.463900
0.311343,9.536100,45.000000,1000.00,5.0000,35.463900
0.321384,9.536100,45.000000,1000.00,5.0000,35.463900
0.331420,9.536100,45.000000,1000.00,5.0000,35.463900
0.341608,9.536100,45.000000,1000.00,5.0000,35.463900
0.351706,9.536100,45.000000,1000.00,5.0000,35.463900
0.361624,9.536100,45.000000,1000.00,5.0000,35.463900
0.371664,9.536100,45.000000,1000.00,5.0000,35.463900
0.381768,9.536100,45.000000,1000.00,5.0000,35.463900
0.391773,9.536100,45.000000,1000.00,5.0000,35.463900
0.401783,9.536100,45.000000,1000.00,5.0000,35.463900
0.411862,9.536100,45.000000,1000.00,5.0000,35.463900
0.422118,9.536100,45.000000,1000.00,5.0000,35.463900
0.431953,9.536100,45.000000,1000.00,5.0000,35.463900
0.441943,9.536100,45.000000,1000.00,5.0000,35.463900
0.452051,9.536100,45.000000,1000.00,5.0000,35.463900
0.462097,9.536100,45.000000,1000.00,5.0000,35.463900
0.472159,9.536100,45.000000,1000.00,5.0000,35.463900
0.482128,9.536100,45.000000,1000.00,5.0000,35.463900
0.492183,9.536100,45.000000,1000.00,5.0000,35.463900
0.502190,9.536100,45.000000,1000.00,5.0000,35.463900
0.512250,9.536100,45.000000,1000.00,5.0000,35.463900
0.522302,9.536100,45.000000,1000.00,5.0000,35.463900
0.532281,9.536100,45.000000,1000.00,5.0000,35.463900
0.542401,9.536100,45.000000,1000.00,5.0000,35.463900
0.552437,9.536100,45.000000,1000.00,5.0000,35.463900
0.562428,9.536100,45.000000,1000.00,5.0000,35.463900
0.572528,9.536100,45.000000,1000.00,5.0000,35.463900
0.582444,9.536100,45.000000,1000.00,5.0000,35.463900
0.592545,9.536100,45.000000,1000.00,5.0000,35.463900
