Recording_Time_s,Arm_Angle_deg,Ref_Angle_deg,PWM_Input_us,Duty_Cycle_percent,Tracking_Error_deg
0.000000,9.536100,70.000000,1000.00,5.0000,60.463900
0.009917,9.536100,70.000000,1000.00,5.0000,60.463900
0.019878,9.536100,70.000000,1000.00,5.0000,60.463900
0.029858,9.536100,70.000000,1000.00,5.0000,60.463900
0.039989,9.536100,70.000000,1000.00,5.0000,60.463900
0.050161,9.536100,70.000000,1000.00,5.0000,60.463900
0.060111,9.536100,70.000000,1000.00,5.0000,60.463900
0.070068,9.536100,70.000000,1000.00,5.0000,60.463900
0.080116,9.536100,70.000000,1000.00,5.0000,60.463900
0.090167,9.536100,70.000000,1000.00,5.0000,60.463900
0.100303,9.536100,70.000000,1000.00,5.0000,60.463900
0.110255,9.536100,70.000000,1000.00,5.0000,60.463900
0.120250,9.536100,70.000000,1000.00,5.0000,60.463900
0.130304,9.536100,70.000000,1000.00,5.0000,60.463900
0.140330,9.536100,70.000000,1000.00,5.0000,60.463900
0.150460,9.536100,70.000000,1000.00,5.0000,60.463900
0.160445,9.536100,70.000000,1000.00,5.0000,60.463900
0.170792,9.536100,70.000000,1000.00,5.0000,60.463900
0.180497,9.536100,70.000000,1000.00,5.0000,60.463900
0.190534,9.536100,70.000000,1000.00,5.0000,60.463900
0.200624,9.536100,70.000000,1000.00,5.0000,60.463900
0.210603,9.536100,70.000000,1000.00,5.0000,60.463900
0.220588,9.536100,70.000000,1000.00,5.0000,60.463900
0.230640,9.536100,70.000000,1000.00,5.0000,60.463900
0.240708,9.536100,70.000000,1000.00,5.0000,60.463900
0.250741,9.536100,70.000000,1000.00,5.0000,60.463900
0.260794,9.536100,70.000000,1000.00,5.0000,60.463900
0.270794,9.536100,70.000000,1000.00,5.0000,60.463900
0.280818,9.536100,70.000000,1000.00,5.0000,60.463900
0.290924,9.536100,70.000000,1000.00,5.0000,60.463900
0.300930,9.536100,70.000000,1000.00,5.0000,60.463900
0.311094,9.536100,70.000000,1000.00,5.0000,60.463900
0.321058,9.536100,70.000000,1000.00,5.0000,60.463900
0.331049,9.536100,70.000000,1000.00,5.0000,60.463900
0.341243,9.536100,70.000000,1000.00,5.0000,60.463900
0.351288,9.536100,70.000000,1000.00,5.0000,60.463900
0.361321,9.536100,70.000000,1000.00,5.0000,60.463900
0.371277,9.536100,70.000000,1000.00,5.0000,60.463900
0.381384,9.536100,70.000000,1000.00,5.0000,60.463900
0.391431,9.536100,70.000000,1000.00,5.0000,60.463900
0.401326,9.536100,70.000000,1000.00,5.0000,60.463900
0.411378,9.536100,70.000000,1000.00,5.0000,60.463900
0.421293,9.536100,70.000000,1000.00,5.0000,60.463900
0.431296,9.536100,70.000000,1000.00,5.0000,60.463900
0.441435,9.536100,70.000000,1000.00,5.0000,60.463900
0.451360,9.536100,70.000000,1000.00,5.0000,60.463900
0.461444,9.536100,70.000000,1000.00,5.0000,60.463900
0.471468,9.536100,70.000000,1000.00,5.0000,60.463900
0.481479,9.536100,70.000000,1000.00,5.0000,60.463900
0.491567,9.536100,70.000000,1000.00,5.0000,60.463900
0.501537,9.536100,70.000000,1000.00,5.0000,60.463900
0.511621,9.536100,70.000000,1000.00,5.0000,60.463900
0.521663,9.536100,70.000000,1000.00,5.0000,60.463900
0.531680,9.536100,70.000000,1000.00,5.0000,60.463900
0.541808,9.536100,70.000000,1000.00,5.0000,60.463900
0.551759,9.536100,70.000000,1000.00,5.0000,60.463900
0.561898,9.536100,70.000000,1000.00,5.0000,60.463900
0.571972,9.536100,70.000000,1000.00,5.0000,60.463900
0.581972,9.536100,70.000000,1000.00,5.0000,60.463900
0.592119,9.536100,70.000000,1000.00,5.0000,60.463900
0.602029,9.536100,70.000000,1000.00,5.0000,60.463900
0.612077,9.536100,70.000000,1000.00,5.0000,60.463900
0.622159,9.536100,70.000000,1000.00,5.0000,60.463900
0.632170,9.536100,70.000000,1000.00,5.0000,60.463900
0.642281,9.536100,70.000000,1000.00,5.0000,60.463900
0.652331,9.536100,70.000000,1000.00,5.0000,60.463900
0.662268,9.536100,70.000000,1000.00,5.0000,60.463900
0.672335,9.536100,70.000000,1000.00,5.0000,60.463900
0.682317,9.536100,70.000000,1000.00,5.0000,60.463900
0.692399,9.536100,70.000000,1000.00,5.0000,60.463900
0.702424,9.536100,70.000000,1000.00,5.0000,60.463900
0.712459,9.536100,70.000000,1000.00,5.0000,60.463900
0.722513,9.536100,70.000000,1000.00,5.0000,60.463900
0.732617,9.536100,70.000000,1000.00,5.0000,60.463900
0.742671,9.536100,70.000000,1000.00,5.0000,60.463900
0.752628,9.536100,70.000000,1000.00,5.0000,60.463900
0.762702,9.536100,70.000000,1000.00,5.0000,60.463900
0.772786,9.536100,70.000000,1000.00,5.0000,60.463900
0.782826,9.536100,70.000000,1000.00,5.0000,60.463900
0.792880,9.536100,70.000000,1000.00,5.0000,60.463900
0.802854,9.536100,70.000000,1000.00,5.0000,60.463900
0.812961,9.536100,70.000000,1000.00,5.0000,60.463900
0.822994,9.536100,70.000000,1000.00,5.0000,60.463900
0.833062,9.536100,70.000000,1000.00,5.0000,60.463900
0.843020,9.536100,70.000000,1000.00,5.0000,60.463900
0.853015,9.536100,70.000000,1000.00,5.0000,60.463900
0.863117,9.536100,70.000000,1000.00,5.0000,60.463900
0.873201,9.536100,70.000000,1000.00,5.0000,60.463900
0.883419,9.536100,70.000000,1000.00,5.0000,60.463900
0.893302,9.536100,70.000000,1000.00,5.0000,60.463900
0.903238,9.536100,70.000000,1000.00,5.0000,60.463900
0.913340,9.536100,70.000000,1000.00,5.0000,60.463900
0.923413,9.536100,70.000000,1000.00,5.0000,60.463900
0.933566,9.536100,70.000000,1000.00,5.0000,60.463900
0.943551,9.536100,70.000000,1000.00,5.0000,60.463900
0.953465,9.536100,70.000000,1000.00,5.0000,60.463900
0.963586,9.536100,70.000000,1000.00,5.0000,60.463900
0.973658,9.536100,70.000000,1000.00,5.0000,60.463900
0.983671,9.536100,70.000000,1000.00,5.0000,60.463900
0.993764,9.536100,70.000000,1000.00,5.0000,60.463900
1.003674,9.536100,70.000000,1000.00,5.0000,60.463900
1.013768,9.536100,70.000000,1000.00,5.0000,60.463900
1.023820,9.536100,70.000000,1000.00,5.0000,60.463900
1.033915,9.536100,70.000000,1000.00,5.0000,60.463900
1.043978,9.536100,70.000000,1000.00,5.0000,60.463900
1.053839,9.536100,70.000000,1000.00,5.0000,60.463900
1.064026,9.536100,70.000000,1000.00,5.0000,60.463900
1.074022,9.536100,70.000000,1000.00,5.0000,60.463900
1.084042,9.536100,70.000000,1000.00,5.0000,60.463900
1.094153,9.536100,70.000000,1000.00,5.0000,60.463900
1.104058,9.536100,70.000000,1000.00,5.0000,60.463900
1.114162,9.536100,70.000000,1000.00,5.0000,60.463900
1.124230,9.536100,70.000000,1000.00,5.0000,60.463900
1.134356,9.536100,70.000000,1000.00,5.0000,60.463900
1.144457,9.536100,70.000000,1000.00,5.0000,60.463900
1.154389,9.536100,70.000000,1000.00,5.0000,60.463900
1.164486,9.536100,70.000000,1000.00,5.0000,60.463900
1.174561,9.536100,70.000000,1000.00,5.0000,60.463900
1.184546,9.536100,70.000000,1000.00,5.0000,60.463900
1.194628,9.536100,70.000000,1000.00,5.0000,60.463900
1.204585,9.536100,70.000000,1000.00,5.0000,60.463900
1.214626,9.536100,70.000000,1000.00,5.0000,60.463900
1.224716,9.536100,70.000000,1000.00,5.0000,60.463900
1.234743,9.536100,70.000000,1000.00,5.0000,60.463900
1.244751,9.536100,70.000000,1000.00,5.0000,60.463900
1.254780,9.536100,70.000000,1000.00,5.0000,60.463900
1.264897,9.536100,70.000000,1000.00,5.0000,60.463900
1.274910,9.536100,70.000000,1000.00,5.0000,60.463900
1.285075,9.536100,70.000000,1452.00,7.2600,60.463900
1.295032,9.536100,70.000000,1252.00,6.2600,60.463900
1.305025,9.536100,70.000000,1252.00,6.2600,60.463900
1.315109,9.536100,70.000000,1252.00,6.2600,60.463900
1.325153,9.536100,70.000000,1253.00,6.2650,60.463900
1.335197,9.536100,70.000000,1253.00,6.2650,60.463900
1.345319,9.536100,70.000000,1253.00,6.2650,60.463900
1.355270,9.536100,70.000000,1253.00,6.2650,60.463900
1.365348,9.536100,70.000000,1254.00,6.2700,60.463900
1.375339,9.536100,70.000000,1254.00,6.2700,60.463900
1.385398,9.536100,70.000000,1254.00,6.2700,60.463900
1.395452,9.536100,70.000000,1254.00,6.2700,60.463900
1.405350,9.536100,70.000000,1255.00,6.2750,60.463900
1.415451,9.536100,70.000000,1255.00,6.2750,60.463900
1.425449,9.536100,70.000000,1255.00,6.2750,60.463900
1.435598,9.536100,70.000000,1256.00,6.2800,60.463900
1.445653,9.536100,70.000000,1256.00,6.2800,60.463900
1.455661,9.536100,70.000000,1256.00,6.2800,60.463900
1.465891,9.536100,70.000000,1256.00,6.2800,60.463900
1.475784,9.536100,70.000000,1257.00,6.2850,60.463900
1.485890,9.536100,70.000000,1257.00,6.2850,60.463900
1.495918,9.536100,70.000000,1257.00,6.2850,60.463900
1.506039,9.536100,70.000000,1257.00,6.2850,60.463900
1.516113,9.536100,70.000000,1258.00,6.2900,60.463900
1.526033,9.536100,70.000000,1258.00,6.2900,60.463900
1.536112,9.536100,70.000000,1258.00,6.2900,60.463900
1.546182,9.536100,70.000000,1258.00,6.2900,60.463900
1.556163,9.536100,70.000000,1259.00,6.2950,60.463900
1.566342,9.536100,70.000000,1259.00,6.2950,60.463900
1.576295,9.536100,70.000000,1259.00,6.2950,60.463900
1.586417,9.536100,70.000000,1259.00,6.2950,60.463900
1.596411,9.536100,70.000000,1260.00,6.3000,60.463900
1.606467,9.536100,70.000000,1260.00,6.3000,60.463900
1.616617,9.536100,70.000000,1260.00,6.3000,60.463900
1.626556,9.536100,70.000000,1260.00,6.3000,60.463900
1.636541,9.536100,70.000000,1261.00,6.3050,60.463900
1.646657,9.536100,70.000000,1261.00,6.3050,60.463900
1.656707,9.536100,70.000000,1261.00,6.3050,60.463900
1.666811,9.536100,70.000000,1262.00,6.3100,60.463900
1.676833,9.536100,70.000000,1262.00,6.3100,60.463900
1.686851,9.536100,70.000000,1262.00,6.3100,60.463900
1.696863,9.536100,70.000000,1262.00,6.3100,60.463900
1.706915,9.536100,70.000000,1263.00,6.3150,60.463900
1.716965,9.536100,70.000000,1263.00,6.3150,60.463900
1.726925,9.536100,70.000000,1263.00,6.3150,60.463900
1.736926,9.536100,70.000000,1263.00,6.3150,60.463900
1.747070,9.536100,70.000000,1264.00,6.3200,60.463900
1.757018,9.536100,70.000000,1264.00,6.3200,60.463900
1.767139,9.536100,70.000000,1264.00,6.3200,60.463900
1.777162,9.536100,70.000000,1264.00,6.3200,60.463900
1.787198,9.536100,70.000000,1265.00,6.3250,60.463900
1.797205,9.536100,70.000000,1265.00,6.3250,60.463900
1.807284,9.536100,70.000000,1265.00,6.3250,60.463900
1.817317,9.536100,70.000000,1265.00,6.3250,60.463900
1.827314,9.536100,70.000000,1266.00,6.3300,60.463900
1.837320,9.536100,70.000000,1266.00,6.3300,60.463900
1.847432,9.536100,70.000000,1266.00,6.3300,60.463900
1.857409,9.536100,70.000000,1267.00,6.3350,60.463900
1.867457,9.536100,70.000000,1267.00,6.3350,60.463900
1.877471,9.536100,70.000000,1267.00,6.3350,60.463900
1.887515,9.536100,70.000000,1267.00,6.3350,60.463900
1.897702,9.536100,70.000000,1268.00,6.3400,60.463900
1.907650,9.536100,70.000000,1268.00,6.3400,60.463900
1.917624,9.536100,70.000000,1268.00,6.3400,60.463900
1.927638,9.536100,70.000000,1268.00,6.3400,60.463900
1.937714,9.536100,70.000000,1269.00,6.3450,60.463900
1.947781,9.536100,70.000000,1269.00,6.3450,60.463900
1.957803,9.536100,70.000000,1269.00,6.3450,60.463900
1.967771,9.536100,70.000000,1269.00,6.3450,60.463900
1.977822,9.536100,70.000000,1270.00,6.3500,60.463900
1.987869,9.536100,70.000000,1270.00,6.3500,60.463900
1.997972,9.536100,70.000000,1270.00,6.3500,60.463900
2.008005,9.536100,70.000000,1270.00,6.3500,60.463900
2.018050,9.536100,70.000000,1271.00,6.3550,60.463900
2.028037,9.536100,70.000000,1271.00,6.3550,60.463900
2.038005,9.536100,70.000000,1271.00,6.3550,60.463900
2.048195,9.536100,70.000000,1271.00,6.3550,60.463900
2.058153,9.536100,70.000000,1272.00,6.3600,60.463900
2.068211,9.536100,70.000000,1272.00,6.3600,60.463900
2.078178,9.536100,70.000000,1272.00,6.3600,60.463900
2.088240,9.536100,70.000000,1273.00,6.3650,60.463900
2.098641,9.536100,70.000000,1273.00,6.3650,60.463900
2.108410,9.536100,70.000000,1273.00,6.3650,60.463900
