# PropArm Data Recording
# Export Time: 2025-11-19T19:00:49
# Number of Points: 396
# Recording Duration: 19.981 seconds
# Start Time: 2025-11-19T18:59:27
# End Time: 2025-11-19T18:59:47
#
Recording_Time_s,Arm_Angle_deg,Ref_Angle_deg,Motor_Speed_rad_s,PWM_Input_us,Duty_Cycle_percent,Tracking_Error_deg
3.743054,58.483561,60.000000,541.881620,1442.00,7.2100,1.516439
3.794098,58.537829,60.000000,541.858832,1439.00,7.1950,1.462171
3.845058,58.493343,60.000000,541.578072,1441.00,7.2050,1.506657
3.895019,58.563235,60.000000,542.404681,1443.00,7.2150,1.436765
3.945999,58.583988,60.000000,542.591599,1438.00,7.1900,1.416012
3.995959,58.653330,60.000000,541.682869,1441.00,7.2050,1.346670
4.046990,58.884584,60.000000,542.180529,1441.00,7.2050,1.115416
4.096999,59.104747,60.000000,543.145970,1438.00,7.1900,0.895253
4.148354,59.069938,60.000000,542.215434,1441.00,7.2050,0.930062
4.197954,59.305750,60.000000,542.677039,1442.00,7.2100,0.694250
4.248273,59.494400,60.000000,542.369863,1437.00,7.1850,0.505600
4.299032,59.733220,60.000000,541.343554,1440.00,7.2000,0.266780
4.350030,60.064896,60.000000,542.363396,1441.00,7.2050,-0.064896
4.400949,60.224777,60.000000,541.507016,1437.00,7.1850,-0.224777
4.451022,60.264782,60.000000,541.198209,1440.00,7.2000,-0.264782
4.501984,60.384685,60.000000,542.698703,1442.00,7.2100,-0.384685
4.551950,60.621228,60.000000,542.075017,1438.00,7.1900,-0.621228
4.602939,60.687423,60.000000,541.623410,1439.00,7.1950,-0.687423
4.653962,60.757958,60.000000,542.763963,1441.00,7.2050,-0.757958
4.704059,60.919846,60.000000,542.242899,1438.00,7.1900,-0.919846
4.754958,60.820837,60.000000,541.622529,1438.00,7.1900,-0.820837
4.805009,60.741630,60.000000,542.865680,1442.00,7.2100,-0.741630
4.856064,60.695844,60.000000,542.540228,1445.00,7.2250,-0.695844
4.905950,60.659215,60.000000,541.683063,1440.00,7.2000,-0.659215
4.957052,60.506872,60.000000,543.080064,1442.00,7.2100,-0.506872
5.006967,60.420138,60.000000,541.615274,1439.00,7.1950,-0.420138
5.057966,60.350750,60.000000,541.800843,1435.00,7.1750,-0.350750
5.108343,60.242520,60.000000,543.085842,1435.00,7.1750,-0.242520
5.159187,60.103196,60.000000,541.871525,1439.00,7.1950,-0.103196
5.209969,59.974157,60.000000,541.818572,1440.00,7.2000,0.025843
5.259963,59.870925,60.000000,543.147231,1443.00,7.2150,0.129075
5.310072,59.770760,60.000000,541.016611,1439.00,7.1950,0.229240
5.360894,59.708208,60.000000,541.944345,1441.00,7.2050,0.291792
5.411935,59.728487,60.000000,543.165458,1442.00,7.2100,0.271513
5.461960,59.481029,60.000000,541.364294,1439.00,7.1950,0.518971
5.512853,59.441263,60.000000,541.693545,1441.00,7.2050,0.558737
5.563906,59.479771,60.000000,542.916893,1442.00,7.2100,0.520229
5.615016,59.369957,60.000000,541.171989,1438.00,7.1900,0.630043
5.664940,59.369985,60.000000,541.517291,1439.00,7.1950,0.630015
5.715959,59.545788,60.000000,542.510367,1442.00,7.2100,0.454212
5.765999,59.563391,60.000000,540.126782,1439.00,7.1950,0.436609
5.816872,59.682932,60.000000,541.312085,1439.00,7.1950,0.317068
5.868212,59.673106,60.000000,541.960912,1435.00,7.1750,0.326894
5.917865,59.612505,60.000000,539.926205,1439.00,7.1950,0.387495
5.968102,59.581604,60.000000,541.528340,1439.00,7.1950,0.418396
6.018864,59.469003,60.000000,541.877654,1442.00,7.2100,0.530997
