Recording_Time_s,Arm_Angle_deg,PWM_Input_us,Duty_Cycle_percent
6.940079,21.196209,1225.00,6.1250
6.991141,20.973567,1225.00,6.1250
7.042105,20.795454,1225.00,6.1250
7.092076,20.670543,1225.00,6.1250
7.143116,20.623355,1225.00,6.1250
7.194086,20.655904,1225.00,6.1250
7.244141,20.787423,1225.00,6.1250
7.295159,20.980518,1225.00,6.1250
7.346006,21.222895,1225.00,6.1250
7.395992,21.223436,1225.00,6.1250
7.447001,21.311749,1225.00,6.1250
7.498050,21.435139,1225.00,6.1250
7.547975,21.569011,1225.00,6.1250
7.598977,21.711269,1225.00,6.1250
7.649041,21.825075,1225.00,6.1250
7.700108,21.898540,1225.00,6.1250
7.750371,21.904572,1225.00,6.1250
7.801151,21.839078,1225.00,6.1250
7.852153,21.733962,1225.00,6.1250
7.902068,21.597130,1225.00,6.1250
7.953156,21.698604,1225.00,6.1250
8.004071,21.727043,1225.00,6.1250
8.054072,21.714634,1225.00,6.1250
8.105068,21.687128,1225.00,6.1250
8.156053,21.665122,1225.00,6.1250
8.206104,21.647518,1225.00,6.1250
8.257022,21.651014,1225.00,6.1250
8.307985,21.688971,1225.00,6.1250
8.358001,21.789657,1225.00,6.1250
8.408990,21.624106,1225.00,6.1250
8.459982,21.544404,1225.00,6.1250
8.510264,21.550944,1225.00,6.1250
8.561006,21.591335,1225.00,6.1250
8.612037,21.641228,1225.00,6.1250
8.661973,21.681142,1225.00,6.1250
8.713036,21.748234,1225.00,6.1250
8.764079,21.784327,1225.00,6.1250
8.814112,21.795622,1225.00,6.1250
8.865139,21.769497,1225.00,6.1250
8.916056,21.713458,1225.00,6.1250
8.966109,21.633466,1225.00,6.1250
9.017130,21.516733,1225.00,6.1250
9.068074,21.651866,1225.00,6.1250
9.118089,21.724813,1225.00,6.1250
9.169140,21.748011,1225.00,6.1250
9.220068,21.731408,1225.00,6.1250
9.270355,21.665407,1225.00,6.1250
9.321058,21.577445,1225.00,6.1250
9.372190,21.471916,1225.00,6.1250
9.422100,21.352333,1225.00,6.1250
9.473137,21.239086,1225.00,6.1250
9.524071,21.130909,1225.00,6.1250
9.574125,21.061947,1225.00,6.1250
9.625056,21.006778,1225.00,6.1250
9.676139,20.962642,1225.00,6.1250
9.726113,20.944914,1225.00,6.1250
9.776991,20.965891,1225.00,6.1250
9.828049,21.017833,1225.00,6.1250
9.878108,21.076966,1225.00,6.1250
9.928989,21.159433,1225.00,6.1250
9.979982,21.278126,1225.00,6.1250
10.030160,21.390661,1225.00,6.1250
10.080988,21.498269,1225.00,6.1250
10.132050,21.601935,1225.00,6.1250
10.182097,21.684868,1225.00,6.1250
10.233066,21.751214,1225.00,6.1250
10.284067,21.786712,1225.00,6.1250
10.334187,21.779949,1225.00,6.1250
10.385145,21.756959,1225.00,6.1250
10.436055,21.703428,1225.00,6.1250
10.486061,21.607862,1225.00,6.1250
10.537134,21.513830,1225.00,6.1250
10.588060,21.438604,1225.00,6.1250
10.638133,21.378423,1225.00,6.1250
10.689126,21.365438,1225.00,6.1250
10.740069,21.372631,1225.00,6.1250
10.790434,21.431105,1225.00,6.1250
10.841102,21.548204,1225.00,6.1250
10.892132,21.448523,1225.00,6.1250
10.942136,21.439098,1225.00,6.1250
10.993074,21.484279,1225.00,6.1250
11.044063,21.590743,1225.00,6.1250
11.094108,21.728654,1225.00,6.1250
11.145061,21.575303,1225.00,6.1250
11.196060,21.470203,1225.00,6.1250
11.246068,21.386122,1225.00,6.1250
11.296970,21.564958,1225.00,6.1250
11.347974,21.655286,1225.00,6.1250
11.397963,21.692389,1225.00,6.1250
11.449182,21.669331,1225.00,6.1250
11.499058,21.598165,1225.00,6.1250
11.550430,21.488492,1225.00,6.1250
11.601102,21.629274,1225.00,6.1250
11.652132,21.706739,1225.00,6.1250
11.702054,21.733551,1225.00,6.1250
11.753127,21.755001,1225.00,6.1250
11.804103,21.772161,1225.00,6.1250
11.854055,21.803469,1225.00,6.1250
11.905066,21.863675,1225.00,6.1250
11.956053,21.947000,1225.00,6.1250
12.006100,21.785140,1225.00,6.1250
12.057078,21.673232,1225.00,6.1250
12.108098,21.618866,1225.00,6.1250
12.158107,21.628092,1225.00,6.1250
12.209144,21.705794,1225.00,6.1250
12.260158,21.820695,1225.00,6.1250
12.310324,21.684096,1225.00,6.1250
12.361033,21.627557,1225.00,6.1250
12.412058,21.617466,1225.00,6.1250
12.462054,21.609392,1225.00,6.1250
12.513053,21.567794,1225.00,6.1250
12.564068,21.499355,1225.00,6.1250
12.614115,21.655544,1225.00,6.1250
12.665127,21.727755,1225.00,6.1250
12.715150,21.680064,1225.00,6.1250
12.766060,21.571591,1225.00,6.1250
12.817053,21.713333,1225.00,6.1250
12.868098,21.756406,1225.00,6.1250
12.917995,21.755705,1225.00,6.1250
12.969033,21.719984,1225.00,6.1250
13.018961,21.691407,1225.00,6.1250
