# PropArm Data Recording
# Export Time: 2025-11-18T18:24:14
# Number of Points: 1188
# Recording Duration: 59.970 seconds
# Start Time: 2025-11-18T18:22:32
# End Time: 2025-11-18T18:23:32
#
Timestamp_ISO8601,Recording_Time_s,Arm_Angle_deg,Ref_Angle_deg,Motor_Speed_rad_s,PWM_Input_us,Duty_Cycle_percent,Tracking_Error_deg,Sim_Arm_Angle_deg,Sim_Ref_Angle_deg,Sim_Motor_Speed_rad_s,Sim_PWM_Input_us,Sim_Duty_Cycle_percent
2025-11-18T18:22:32,0.000000,8.305700,0.000000,0.000000,1396.00,6.9800,-8.305700,0.000000,0.000000,0.000000,0.00,0.0000
2025-11-18T18:22:32,0.051085,8.305700,0.000000,0.000000,1396.00,6.9800,-8.305700,0.000000,0.000000,0.000000,0.00,0.0000
2025-11-18T18:22:32,0.100968,8.305700,0.000000,0.000000,1396.00,6.9800,-8.305700,0.000000,0.000000,0.000000,0.00,0.0000
2025-11-18T18:22:32,0.152007,8.305700,0.000000,0.000000,1396.00,6.9800,-8.305700,0.000000,0.000000,0.000000,0.00,0.0000
2025-11-18T18:22:32,0.202133,8.305700,0.000000,0.000000,1396.00,6.9800,-8.305700,0.000000,0.000000,0.000000,0.00,0.0000
2025-11-18T18:22:32,0.252982,8.305700,0.000000,0.000000,1396.00,6.9800,-8.305700,0.000000,0.000000,0.000000,0.00,0.0000
2025-11-18T18:22:32,0.302991,8.305700,0.000000,0.000000,1396.00,6.9800,-8.305700,0.000000,0.000000,0.000000,0.00,0.0000
2025-11-18T18:22:32,0.353987,8.305700,0.000000,0.000000,1396.00,6.9800,-8.305700,0.000000,0.000000,0.000000,0.00,0.0000
2025-11-18T18:22:32,0.404111,8.305700,0.000000,0.000000,1396.00,6.9800,-8.305700,0.000000,0.000000,0.000000,0.00,0.0000
2025-11-18T18:22:32,0.454975,8.305700,0.000000,0.000000,1396.00,6.9800,-8.305700,0.000000,0.000000,0.000000,0.00,0.0000
2025-11-18T18:22:32,0.505220,8.305700,0.000000,0.000000,1396.00,6.9800,-8.305700,0.000000,0.000000,0.000000,0.00,0.0000
2025-11-18T18:22:32,0.556041,8.305700,0.000000,0.000000,1396.00,6.9800,-8.305700,0.000000,0.000000,0.000000,0.00,0.0000
2025-11-18T18:22:32,0.605973,8.305700,0.000000,0.000000,1396.00,6.9800,-8.305700,0.000000,0.000000,0.000000,0.00,0.0000
