# PropArm Data Recording
# Export Time: 2025-10-11T17:53:50
# Number of Points: 60331
# Recording Duration: 0.000 seconds
# Start Time: 1970-01-01T00:00:00.000000Z
# End Time: 1970-01-01T00:00:00.000000Z
#
Timestamp_ISO8601,Recording_Time_s,Arm_Angle_deg,Motor_Speed_rad_s,PWM_Input_us,Duty_Cycle_percent,Motor_Command,Control_Error_deg,Target_Angle_deg
1970-01-01T00:00:00.000000Z,0.000000,60.512695,0.000000,1330.00,6.6500,0.000000,-60.512695,0.000000
1970-01-01T00:00:00.000000Z,0.000000,60.512695,0.000000,1330.00,6.6500,0.000000,-60.512695,0.000000
1970-01-01T00:00:00.000000Z,0.000000,60.534668,0.000000,1330.00,6.6500,0.000000,-60.534668,0.000000
1970-01-01T00:00:00.000000Z,0.000000,60.534668,0.000000,1330.00,6.6500,0.000000,-60.534668,0.000000
1970-01-01T00:00:00.000000Z,0.000000,60.534668,0.000000,1330.00,6.6500,0.000000,-60.534668,0.000000
1970-01-01T00:00:00.000000Z,0.000000,60.556641,0.000000,1330.00,6.6500,0.000000,-60.556641,0.000000
1970-01-01T00:00:00.000000Z,0.000000,60.556641,0.000000,1330.00,6.6500,0.000000,-60.556641,0.000000
1970-01-01T00:00:00.000000Z,0.000000,60.556641,0.000000,1330.00,6.6500,0.000000,-60.556641,0.000000
1970-01-01T00:00:00.000000Z,0.000000,60.556641,0.000000,1330.00,6.6500,0.000000,-60.556641,0.000000
1970-01-01T00:00:00.000000Z,0.000000,60.556641,0.000000,1330.00,6.6500,0.000000,-60.556641,0.000000
1970-01-01T00:00:00.000000Z,0.000000,60.556641,0.000000,1330.00,6.6500,0.000000,-60.556641,0.000000
1970-01-01T00:00:00.000000Z,0.000000,60.556641,0.000000,1330.00,6.6500,0.000000,-60.556641,0.000000
1970-01-01T00:00:00.000000Z,0.000000,60.556641,0.000000,1330.00,6.6500,0.000000,-60.556641,0.000000
1970-01-01T00:00:00.000000Z,0.000000,60.578613,0.000000,1330.00,6.6500,0.000000,-60.578613,0.000000
1970-01-01T00:00:00.000000Z,0.000000,60.600586,0.000000,1330.00,6.6500,0.000000,-60.600586,0.000000
1970-01-01T00:00:00.000000Z,0.000000,60.600586,0.000000,1330.00,6.6500,0.000000,-60.600586,0.000000
1970-01-01T00:00:00.000000Z,0.000000,60.600586,0.000000,1330.00,6.6500,0.000000,-60.600586,0.000000
1970-01-01T00:00:00.000000Z,0.000000,60.600586,0.000000,1330.00,6.6500,0.000000,-60.600586,0.000000
1970-01-01T00:00:00.000000Z,0.000000,60.600586,0.000000,1330.00,6.6500,0.000000,-60.600586,0.000000
1970-01-01T00:00:00.000000Z,0.000000,60.600586,0.000000,1330.00,6.6500,0.000000,-60.600586,0.000000
1970-01-01T00:00:00.000000Z,0.000000,60.578613,0.000000,1330.00,6.6500,0.000000,-60.578613,0.000000
1970-01-01T00:00:00.000000Z,0.000000,60.534668,0.000000,1330.00,6.6500,0.000000,-60.534668,0.000000
1970-01-01T00:00:00.000000Z,0.000000,60.490723,0.000000,1330.00,6.6500,0.000000,-60.490723,0.000000
1970-01-01T00:00:00.000000Z,0.000000,60.490723,0.000000,1330.00,6.6500,0.000000,-60.490723,0.000000
1970-01-01T00:00:00.000000Z,0.000000,60.490723,0.000000,1330.00,6.6500,0.000000,-60.490723,0.000000
1970-01-01T00:00:00.000000Z,0.000000,60.512695,0.000000,1330.00,6.6500,0.000000,-60.512695,0.000000
1970-01-01T00:00:00.000000Z,0.000000,60.534668,0.000000,1330.00,6.6500,0.000000,-60.534668,0.000000
1970-01-01T00:00:00.000000Z,0.000000,60.534668,0.000000,1330.00,6.6500,0.000000,-60.534668,0.000000
1970-01-01T00:00:00.000000Z,0.000000,60.534668,0.000000,1330.00,6.6500,0.000000,-60.534668,0.000000
1970-01-01T00:00:00.000000Z,0.000000,60.534668,0.000000,1330.00,6.6500,0.000000,-60.534668,0.000000
1970-01-01T00:00:00.000000Z,0.000000,60.534668,0.000000,1330.00,6.6500,0.000000,-60.534668,0.000000
1970-01-01T00:00:00.000000Z,0.000000,60.534668,0.000000,1330.00,6.6500,0.000000,-60.534668,0.000000
1970-01-01T00:00:00.000000Z,0.000000,60.534668,0.000000,1330.00,6.6500,0.000000,-60.534668,0.000000
1970-01-01T00:00:00.000000Z,0.000000,60.534668,0.000000,1330.00,6.6500,0.000000,-60.534668,0.000000
1970-01-01T00:00:00.000000Z,0.000000,60.534668,0.000000,1330.00,6.6500,0.000000,-60.534668,0.000000
1970-01-01T00:00:00.000000Z,0.000000,60.556641,0.000000,1330.00,6.6500,0.000000,-60.556641,0.000000
1970-01-01T00:00:00.000000Z,0.000000,60.600586,0.000000,1330.00,6.6500,0.000000,-60.600586,0.000000
1970-01-01T00:00:00.000000Z,0.000000,60.666504,0.000000,1330.00,6.6500,0.000000,-60.666504,0.000000
