Recording_Time_s,Arm_Angle_deg,PWM_Input_us,Duty_Cycle_percent
0.000000,43.468977,1370.00,6.8500
0.049995,43.573042,1370.00,6.8500
0.100997,43.656294,1370.00,6.8500
0.152075,43.687735,1370.00,6.8500
0.202008,43.677728,1370.00,6.8500
0.253005,43.599402,1370.00,6.8500
0.304072,43.484022,1370.00,6.8500
0.354011,43.338977,1370.00,6.8500
0.405021,43.170202,1370.00,6.8500
0.456014,43.000022,1370.00,6.8500
0.506023,42.846297,1370.00,6.8500
0.557007,42.740898,1370.00,6.8500
0.607268,42.674158,1370.00,6.8500
0.658024,42.673507,1370.00,6.8500
0.709060,42.725725,1370.00,6.8500
0.759997,42.837800,1370.00,6.8500
0.810120,42.962620,1370.00,6.8500
0.861034,43.097636,1370.00,6.8500
0.912024,43.258389,1370.00,6.8500
0.962084,43.439711,1370.00,6.8500
1.013075,43.637509,1370.00,6.8500
1.063060,43.866067,1370.00,6.8500
1.113994,43.837974,1370.00,6.8500
1.165064,43.850659,1370.00,6.8500
1.215993,43.948687,1370.00,6.8500
1.266048,43.868910,1370.00,6.8500
1.317014,43.892988,1370.00,6.8500
1.367274,44.017710,1370.00,6.8500
1.418067,43.924128,1370.00,6.8500
1.469078,43.919583,1406.00,7.0300
1.520022,43.986246,1406.00,7.0300
1.570058,44.127477,1406.00,7.0300
1.621001,44.398661,1406.00,7.0300
1.672058,44.738649,1406.00,7.0300
1.723004,44.852439,1406.00,7.0300
1.772995,45.347771,1406.00,7.0300
1.824062,45.990137,1406.00,7.0300
1.875010,46.433710,1406.00,7.0300
1.926103,47.157708,1406.00,7.0300
1.976006,48.035726,1406.00,7.0300
2.027277,49.177601,1406.00,7.0300
2.078084,50.372361,1406.00,7.0300
2.128062,51.486369,1406.00,7.0300
2.178999,52.570935,1406.00,7.0300
2.230002,53.614368,1406.00,7.0300
2.280006,54.853414,1406.00,7.0300
2.331064,55.950111,1406.00,7.0300
2.382072,56.845049,1406.00,7.0300
2.431999,57.930139,1406.00,7.0300
2.483056,58.938831,1406.00,7.0300
